# 847 Layer-(c) §5 reference-repair worklist — GET re-probe of the 134 HEAD-dead refs.
# MEASURE not verdict. INPUT for ai-01 synthesis update. GATED jsboige ratification. 0 prod CSV.
# get_class in {alive, redirect-3xx, dead, unknown}. Reproducible from 847-layerc-reference-reachability-refs.csv (dead bucket).
pk,lang,host,url,family,subfamily,subsub,get_code,get_class,final_url
477,en,rationalwiki.org,http://rationalwiki.org/wiki/On_the_spot_fallacy,Influence,Manipulation mentale,Jeu de pouvoir,503,dead,https://rationalwiki.org/wiki/On_the_spot_fallacy
606,en,rationalwiki.org,http://rationalwiki.org/wiki/Apex_fallacy,Erreur mathématique,Généralisation abusive,Échantillon biaisé,503,dead,https://rationalwiki.org/wiki/Apex_fallacy
607,en,rationalwiki.org,http://rationalwiki.org/wiki/Nutpicking,Erreur mathématique,Généralisation abusive,Échantillon biaisé,503,dead,https://rationalwiki.org/wiki/Nutpicking
608,en,rationalwiki.org,https://rationalwiki.org/wiki/Selection_bias,Erreur mathématique,Généralisation abusive,Échantillon biaisé,503,dead,https://rationalwiki.org/wiki/Selection_bias
610,en,rationalwiki.org,http://rationalwiki.org/wiki/Toupee_fallacy,Erreur mathématique,Généralisation abusive,Échantillon biaisé,503,dead,https://rationalwiki.org/wiki/Toupee_fallacy
612,en,rationalwiki.org,https://rationalwiki.org/wiki/Spotlight_fallacy,Erreur mathématique,Généralisation abusive,Échantillon biaisé,503,dead,https://rationalwiki.org/wiki/Spotlight_fallacy
613,en,rationalwiki.org,https://rationalwiki.org/wiki/Neyman%27s_bias,Erreur mathématique,Généralisation abusive,Échantillon biaisé,503,dead,https://rationalwiki.org/wiki/Neyman%27s_bias
626,fr,ikipedia.qwika.com,http://wikipedia.qwika.com/en2fr/Ecological_fallacy,Erreur mathématique,Généralisation abusive,Transfert illicite,0,unknown,http://wikipedia.qwika.com/en2fr/Ecological_fallacy
643,en,rationalwiki.org,https://rationalwiki.org/wiki/Clustering_illusion,Erreur mathématique,Mauvaise interprétation,Relation infondée,503,dead,https://rationalwiki.org/wiki/Clustering_illusion
672,en,rationalwiki.org,http://rationalwiki.org/wiki/Uncertainty_tactic,Erreur mathématique,Résultat invalide,Imprécision,503,dead,https://rationalwiki.org/wiki/Uncertainty_tactic
679,fr,eyrolles.com,https://www.eyrolles.com/Chapitres/9782708135291/chapA_Grigorieff.pdf,Erreur mathématique,Résultat invalide,Imprécision,404,dead,https://www.eyrolles.com/Chapitres/9782708135291/chapA_Grigorieff.pdf
687,en,rationalwiki.org,http://rationalwiki.org/wiki/Russell%27s_paradox,Erreur mathématique,Résultat invalide,Erreur de calcul,503,dead,https://rationalwiki.org/wiki/Russell%27s_paradox
711,en,rationalwiki.org,http://rationalwiki.org/wiki/Spider-Man_fallacy,Erreur de raisonnement,Causalité douteuse,Inversion de causalité,503,dead,https://rationalwiki.org/wiki/Spider-Man_fallacy
