# 847 Layer-(c) reference-reachability — per-reference. MEASURE not verdict. INPUT for ai-01 synthesis. GATED jsboige ratification. 0 prod CSV.
"# bucket in {wikipedia-stable, archive-repointed, dictionary-known, alive, dead, unknown, unparseable}. WMF/archive/dictionary = deterministic allowlist; long-tail = read-only HEAD probe."
pk,lang,host,url,bucket
83,en,philosophy.lander.edu,https://philosophy.lander.edu/logic/authority.html,dictionary-known
84,en,rationalwiki.org,http://rationalwiki.org/wiki/Ultracrepidarianism,dead
85,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Argument_from_authority#Appeal_to_false_authority,wikipedia-stable
87,fr,vert.eco,https://vert.eco/articles/les-technique-des-climatosceptiques-pour-nier-la-realite-scientifique,alive
87,en,climatechangecommunication.org,https://www.climatechangecommunication.org/wp-content/uploads/2020/11/Cook_2020_deconstructing_denial.pdf,dead
88,en,rationalwiki.org,http://rationalwiki.org/wiki/Professor_of_nothing,dead
89,fr,vert.eco,https://vert.eco/articles/les-technique-des-climatosceptiques-pour-nier-la-realite-scientifique,alive
89,en,climatechangecommunication.org,https://www.climatechangecommunication.org/wp-content/uploads/2020/11/Cook_2020_deconstructing_denial.pdf,dead
90,fr,vert.eco,https://vert.eco/articles/les-technique-des-climatosceptiques-pour-nier-la-realite-scientifique,alive
90,en,climatechangecommunication.org,https://www.climatechangecommunication.org/wp-content/uploads/2020/11/Cook_2020_deconstructing_denial.pdf,dead
91,en,logicallyfallacious.com,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/18/Anonymous-Authority,dictionary-known
92,en,rationalwiki.org,http://rationalwiki.org/wiki/Fox_News#Disguised_opinion,dead
93,en,rationalwiki.org,http://rationalwiki.org/wiki/Ipse_dixit,dead
94,en,rationalwiki.org,http://rationalwiki.org/wiki/Vicarious_autotheism,dead
95,en,rationalwiki.org,http://rationalwiki.org/wiki/Cafeteria_Christian,dead
96,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Paralogisme_naturaliste,wikipedia-stable
96,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Naturalistic_fallacy,wikipedia-stable
97,en,thinklikeacop.org,http://www.thinklikeacop.org/Military%20Manuals/Attacking%20Faulty%20Reasoning.pdf,dictionary-known
98,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Argumentum_ad_populum,wikipedia-stable
98,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Argumentum_ad_populum,wikipedia-stable
98,ru,ru.wikipedia.org,https://ru.wikipedia.org/wiki/Апелляция_к_большинству,wikipedia-stable
99,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Three_men_make_a_tiger,wikipedia-stable
100,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Flag-waving,wikipedia-stable
101,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Drinking_the_Kool-Aid,wikipedia-stable
102,en,infidels.org,https://infidels.org/library/modern/mathew/logic.html#numerum,dictionary-known
103,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Ignorance_pluraliste,wikipedia-stable
